Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 300    Date: 21/01/13    Time: 11:32:20

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0002E-01  +8.8553E+01   
+1.2328E-01  +2.0005E-01  +8.8216E+01    
+1.5199E-01  +1.9992E-01  +8.7831E+01    
+1.8738E-01  +1.9982E-01  +8.7353E+01    
+2.3101E-01  +1.9977E-01  +8.6719E+01    
+2.8480E-01  +1.9953E-01  +8.5962E+01    
+3.5112E-01  +1.9937E-01  +8.5044E+01    
+4.3288E-01  +1.9924E-01  +8.3911E+01    
+5.3367E-01  +1.9850E-01  +8.2566E+01    
+6.5790E-01  +1.9756E-01  +8.0807E+01    
+8.1110E-01  +1.9613E-01  +7.8790E+01    
+1.0000E+00  +1.9439E-01  +7.6253E+01    
+1.2329E+00  +1.9161E-01  +7.3354E+01    
+1.5199E+00  +1.8752E-01  +6.9669E+01    
+1.8738E+00  +1.8195E-01  +6.5473E+01    
+2.3101E+00  +1.7428E-01  +6.0637E+01    
+2.8481E+00  +1.6403E-01  +5.5236E+01    
+3.5112E+00  +1.5202E-01  +4.9537E+01    
+4.3288E+00  +1.3752E-01  +4.3535E+01    
+5.3368E+00  +1.2184E-01  +3.7571E+01    
+6.5790E+00  +1.0584E-01  +3.1958E+01    
+8.1110E+00  +9.0409E-02  +2.6932E+01    
+1.0000E+01  +7.6054E-02  +2.2430E+01    
+1.2329E+01  +6.3308E-02  +1.8430E+01    
+1.5199E+01  +5.2216E-02  +1.5047E+01    
+1.8738E+01  +4.2669E-02  +1.2091E+01    
+2.3102E+01  +3.4977E-02  +9.8653E+00    
+2.8481E+01  +2.8551E-02  +7.9900E+00    
+3.5112E+01  +2.3269E-02  +6.2187E+00    
+4.3288E+01  +1.8966E-02  +4.6342E+00    
+5.3368E+01  +1.5361E-02  +4.0139E+00    
+6.5790E+01  +1.2447E-02  +3.1054E+00    
+8.1110E+01  +1.0133E-02  +2.2700E+00    
+1.0000E+02  +8.2146E-03  +1.5855E+00    
+1.2329E+02  +6.6673E-03  +9.2631E-01    
+1.5199E+02  +5.3971E-03  +6.6690E-01    
+1.8739E+02  +4.3867E-03  -1.9016E-01    
+2.3102E+02  +3.5592E-03  -8.1616E-01    
+2.8481E+02  +2.8861E-03  -1.4519E+00    
+3.5113E+02  +2.3419E-03  -2.0807E+00    
+4.3289E+02  +1.8977E-03  -2.9028E+00    
+5.3368E+02  +1.5378E-03  -3.8060E+00    
+6.5790E+02  +1.2465E-03  -4.8814E+00    
+8.1120E+02  +1.0097E-03  -6.1521E+00    
+1.0000E+03  +8.1719E-04  -7.6991E+00    
+1.2329E+03  +6.6105E-04  -9.5810E+00    
+1.5200E+03  +5.3422E-04  -1.1880E+01    
+1.8739E+03  +4.3121E-04  -1.4712E+01    
+2.3102E+03  +3.4664E-04  -1.8504E+01    
+2.8481E+03  +2.7553E-04  -2.3034E+01    
+3.5113E+03  +2.1576E-04  -2.8599E+01    
+4.3289E+03  +1.6343E-04  -3.4867E+01    
+5.3369E+03  +1.1957E-04  -3.9308E+01    
+6.5795E+03  +9.1084E-05  -4.2064E+01    
+8.1115E+03  +7.1220E-05  -4.7527E+01    
+1.0000E+04  +5.4684E-05  -5.5275E+01    
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+1.0000E+00  +1.8825E-01  +1.1229E+02   
+1.2328E+00  +1.9855E-01  +1.0290E+02    
+1.5199E+00  +2.0342E-01  +9.3363E+01    
+1.8738E+00  +2.0273E-01  +8.3742E+01    
+2.3101E+00  +1.9660E-01  +7.4086E+01    
+2.8480E+00  +1.8512E-01  +6.4746E+01    
+3.5112E+00  +1.6913E-01  +5.5703E+01    
+4.3288E+00  +1.5064E-01  +4.7353E+01    
+5.3367E+00  +1.3095E-01  +3.9704E+01    
+6.5790E+00  +1.1181E-01  +3.3023E+01    
+8.1110E+00  +9.4063E-02  +2.7313E+01    
+1.0000E+01  +7.8222E-02  +2.2391E+01    
+1.2329E+01  +6.4534E-02  +1.8236E+01    
+1.5199E+01  +5.2998E-02  +1.4843E+01    
+1.8738E+01  +4.3328E-02  +1.2042E+01    
+2.3101E+01  +3.5257E-02  +9.8209E+00    
+2.8481E+01  +2.8738E-02  +7.8508E+00    
+3.5112E+01  +2.3322E-02  +6.2821E+00    
+4.3288E+01  +1.8850E-02  +4.6383E+00    
+5.3368E+01  +1.5391E-02  +3.8797E+00    
+6.5790E+01  +1.2504E-02  +3.0748E+00    
+8.1110E+01  +1.0142E-02  +2.1806E+00    
+1.0000E+02  +8.2310E-03  +1.4998E+00    
+1.2329E+02  +6.6769E-03  +9.0365E-01    
+1.5199E+02  +5.3825E-03  +3.0977E-01    
+1.8738E+02  +4.3953E-03  -2.7774E-01    
+2.3102E+02  +3.5597E-03  -8.2042E-01    
+2.8481E+02  +2.8890E-03  -1.4455E+00    
+3.5112E+02  +2.3446E-03  -2.1131E+00    
+4.3288E+02  +1.8999E-03  -2.8781E+00    
+5.3368E+02  +1.5401E-03  -3.7777E+00    
+6.5790E+02  +1.2486E-03  -4.8378E+00    
+8.1110E+02  +1.0110E-03  -6.1086E+00    
+1.0000E+03  +8.1883E-04  -7.6477E+00    
+1.2329E+03  +6.6241E-04  -9.5238E+00    
+1.5199E+03  +5.3524E-04  -1.1821E+01    
+1.8739E+03  +4.3204E-04  -1.4637E+01    
+2.3102E+03  +3.4729E-04  -1.8442E+01    
+2.8481E+03  +2.7610E-04  -2.2947E+01    
+3.5113E+03  +2.1640E-04  -2.8497E+01    
+4.3289E+03  +1.6398E-04  -3.4781E+01    
+5.3368E+03  +1.1996E-04  -3.9252E+01    
+6.5795E+03  +9.1342E-05  -4.2020E+01    
+8.1115E+03  +7.1394E-05  -4.7460E+01    
+1.0000E+04  +5.4810E-05  -5.5166E+01    
