Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 301    Date: 21/01/13    Time: 12:01:21

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0006E-01  +8.8555E+01   
+1.2328E-01  +2.0008E-01  +8.8260E+01    
+1.5199E-01  +2.0002E-01  +8.7835E+01    
+1.8738E-01  +1.9983E-01  +8.7330E+01    
+2.3101E-01  +1.9981E-01  +8.6742E+01    
+2.8480E-01  +1.9964E-01  +8.6012E+01    
+3.5112E-01  +1.9946E-01  +8.5110E+01    
+4.3288E-01  +1.9912E-01  +8.3924E+01    
+5.3367E-01  +1.9828E-01  +8.2553E+01    
+6.5790E-01  +1.9776E-01  +8.0958E+01    
+8.1110E-01  +1.9635E-01  +7.8903E+01    
+1.0000E+00  +1.9435E-01  +7.6333E+01    
+1.2329E+00  +1.9160E-01  +7.3243E+01    
+1.5199E+00  +1.8779E-01  +6.9759E+01    
+1.8738E+00  +1.8225E-01  +6.5537E+01    
+2.3101E+00  +1.7434E-01  +6.0720E+01    
+2.8481E+00  +1.6416E-01  +5.5340E+01    
+3.5112E+00  +1.5238E-01  +4.9689E+01    
+4.3288E+00  +1.3796E-01  +4.3693E+01    
+5.3368E+00  +1.2230E-01  +3.7769E+01    
+6.5790E+00  +1.0635E-01  +3.2125E+01    
+8.1110E+00  +9.0833E-02  +2.6965E+01    
+1.0000E+01  +7.6425E-02  +2.2432E+01    
+1.2329E+01  +6.3617E-02  +1.8544E+01    
+1.5199E+01  +5.2552E-02  +1.5147E+01    
+1.8738E+01  +4.3013E-02  +1.2332E+01    
+2.3102E+01  +3.5252E-02  +9.8451E+00    
+2.8481E+01  +2.8739E-02  +8.0306E+00    
+3.5112E+01  +2.3416E-02  +6.5786E+00    
+4.3288E+01  +1.9009E-02  +5.5890E+00    
+5.3368E+01  +1.5441E-02  +4.0294E+00    
+6.5790E+01  +1.2570E-02  +3.0476E+00    
+8.1110E+01  +1.0181E-02  +2.3002E+00    
+1.0000E+02  +8.2652E-03  +1.6139E+00    
+1.2329E+02  +6.7039E-03  +9.6167E-01    
+1.5199E+02  +5.4147E-03  +1.8152E-01    
+1.8739E+02  +4.4137E-03  -1.9465E-01    
+2.3102E+02  +3.5791E-03  -7.7454E-01    
+2.8481E+02  +2.9030E-03  -1.4010E+00    
+3.5113E+02  +2.3526E-03  -2.0128E+00    
+4.3289E+02  +1.9081E-03  -2.8133E+00    
+5.3368E+02  +1.5471E-03  -3.6959E+00    
+6.5790E+02  +1.2536E-03  -4.7502E+00    
+8.1120E+02  +1.0159E-03  -6.0008E+00    
+1.0000E+03  +8.2296E-04  -7.5217E+00    
+1.2329E+03  +6.6594E-04  -9.3873E+00    
+1.5200E+03  +5.3818E-04  -1.1687E+01    
+1.8739E+03  +4.3397E-04  -1.4551E+01    
+2.3102E+03  +3.4817E-04  -1.7939E+01    
+2.8481E+03  +2.7832E-04  -2.2173E+01    
+3.5113E+03  +2.2015E-04  -2.7472E+01    
+4.3289E+03  +1.7046E-04  -3.3809E+01    
+5.3369E+03  +1.2745E-04  -4.0370E+01    
+6.5795E+03  +9.3718E-05  -4.5332E+01    
+8.1115E+03  +7.0764E-05  -5.0025E+01    
+1.0000E+04  +5.3937E-05  -5.6686E+01    
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+1.0000E+00  +1.8969E-01  +1.1198E+02   
+1.2328E+00  +1.9967E-01  +1.0270E+02    
+1.5199E+00  +2.0471E-01  +9.3099E+01    
+1.8738E+00  +2.0375E-01  +8.3468E+01    
+2.3101E+00  +1.9761E-01  +7.3922E+01    
+2.8480E+00  +1.8572E-01  +6.4545E+01    
+3.5112E+00  +1.6979E-01  +5.5576E+01    
+4.3288E+00  +1.5122E-01  +4.7247E+01    
+5.3367E+00  +1.3155E-01  +3.9688E+01    
+6.5790E+00  +1.1236E-01  +3.3017E+01    
+8.1110E+00  +9.4553E-02  +2.7227E+01    
+1.0000E+01  +7.8644E-02  +2.2343E+01    
+1.2329E+01  +6.4903E-02  +1.8266E+01    
+1.5199E+01  +5.3217E-02  +1.4746E+01    
+1.8738E+01  +4.3531E-02  +1.2063E+01    
+2.3101E+01  +3.5551E-02  +9.6238E+00    
+2.8481E+01  +2.8883E-02  +7.8347E+00    
+3.5112E+01  +2.3442E-02  +6.3190E+00    
+4.3288E+01  +1.9065E-02  +4.5200E+00    
+5.3368E+01  +1.5486E-02  +3.9019E+00    
+6.5790E+01  +1.2542E-02  +3.0080E+00    
+8.1110E+01  +1.0203E-02  +2.2087E+00    
+1.0000E+02  +8.2721E-03  +1.5419E+00    
+1.2329E+02  +6.7122E-03  +9.2361E-01    
+1.5199E+02  +5.4262E-03  +6.0430E-01    
+1.8738E+02  +4.4166E-03  -1.8819E-01    
+2.3102E+02  +3.5818E-03  -8.0687E-01    
+2.8481E+02  +2.9045E-03  -1.3886E+00    
+3.5112E+02  +2.3577E-03  -2.0605E+00    
+4.3288E+02  +1.9106E-03  -2.8114E+00    
+5.3368E+02  +1.5487E-03  -3.6873E+00    
+6.5790E+02  +1.2557E-03  -4.7388E+00    
+8.1110E+02  +1.0176E-03  -5.9890E+00    
+1.0000E+03  +8.2415E-04  -7.5116E+00    
+1.2329E+03  +6.6689E-04  -9.3778E+00    
+1.5199E+03  +5.3905E-04  -1.1670E+01    
+1.8739E+03  +4.3459E-04  -1.4510E+01    
+2.3102E+03  +3.4896E-04  -1.7968E+01    
+2.8481E+03  +2.7891E-04  -2.2226E+01    
+3.5113E+03  +2.2051E-04  -2.7527E+01    
+4.3289E+03  +1.7068E-04  -3.3881E+01    
+5.3368E+03  +1.2760E-04  -4.0459E+01    
+6.5795E+03  +9.3747E-05  -4.5424E+01    
+8.1115E+03  +7.0778E-05  -5.0085E+01    
+1.0000E+04  +5.3956E-05  -5.6737E+01    
